plot,year,Acalypha.sp.,Allium.vineale,Andropogon.virginicus,Anthoxanthum.odoratum,Apocynum.cannabinum,Celtis.laevigata,Conyza.canadensis,Cynodon.dactylon,Daucus.carota,Desmodium.sp.,Digitaria.sanguinalis,Eragrostis.capillaris,Fraxinus.sp.,Holcus.lanatus,Houstonia.sp.,Ipomea.sp.,Juncus.sp.,Juniperus.virginiana,Lespedeza.cuneata,Litter,Festuca.arundinacea,Lonicera.japonica,Oxalis.dillenii,Parthenocissus.quinquefolia,Paspalum.dilatatum,Paspalum.notatum,Pinus.taeda,Plantago.aristata,Plantago.lanceolata,Poa.pratensis,Ranunculus.sp.,Rosa.multiflora,Rubus.argutus,Setaria.parviflora,Solanum.carolinense,Sorghum.halepense,Steinchisma.hians,Toxicodendron.radicans,Tridens.flavus,Tripsacum.dactyloides,Unknown Asteraceae 1,Unknown Fabaceae 1,Verbesina.occidentalis,Vitis.sp.
plotID_20,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1,0,0
plotID_21,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
plotID_22,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0
plotID_23,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0
plotID_24,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,95,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0
plotID_25,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,3,0,0,0.1,0,0
plotID_26,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0
plotID_27,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0
plotID_28,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,100,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
plotID_29,2017,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,2,0.5,0,0,1,0,0,0,0,0,0,0,3,0,0
plotID_30,2017,0,0,0,0,0,2,0,0,0,35,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_31,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,15,0,0,0,0,0,7,0
plotID_32,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,95,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
plotID_33,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,15,0,0.1,0,0
plotID_34,2017,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
plotID_35,2017,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,1,3,0,0,0,0,0,0,0.1,0,0
plotID_36,2017,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
plotID_37,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_38,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
plotID_39,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0.5,0,0
plotID_40,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_41,2017,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
plotID_42,2017,0,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,95,0,0.5,0,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2
plotID_43,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
plotID_44,2017,0,0.5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0
plotID_45,2017,0,0.5,0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
plotID_46,2017,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,0.5,0,0
plotID_47,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,5,0,0,0,0,0,0,0
plotID_48,2017,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0.5,0,0
plotID_49,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
plotID_50,2017,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_51,2017,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,2,0,50,0,0,3,0,0,0,0,0,0,0,0,0
plotID_52,2017,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,0,0.5,0,0
plotID_53,2017,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_54,2017,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
plotID_55,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0,0,0,0,4,4,0,0,0,0,3,0,0,0,0,0,0,0.5,0,0
plotID_56,2017,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,0,0.1,0,0
plotID_57,2017,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0.5,0,0
plotID_58,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,5,0,0,20,0,4,0,0,0,0,0,0,0.1,0,0
plotID_59,2017,0,0.5,7,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0
plotID_60,2017,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_61,2017,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plotID_62,2017,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plotID_63,2017,0,0,6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,90,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0
plotID_64,2017,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,20,0,0,0,0,0,0,0,2,0,0,0,20,0,0,0,0,0,0,0,0,0,0
plotID_1,2018,20,0,1,0,0,0,0,0,0.1,0,3,0,0,0,0,0,0,0,0,1,80,0,10,0,0,0,0,0,0,15,0,0,0,7,2,0,0,0,0,0,0,0,0,15
plotID_2,2018,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,1,0,0,0,0,0,0,5,0,0,0,5,7,0,0,0,0,0,0,0,0,0
plotID_3,2018,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,3,0,0,0,0,0,0,5,0,0,0,2,5,15,0,0,0,0,0,0,0,0
plotID_4,2018,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,1,0,0,0,0,0,0,3,0,0,0,1,3,10,1,0,0,0,0,0,30,0
plotID_5,2018,4,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,85,0,15,8,0,0,0,0,0,2,0,0,0,8,2,0,0,0,0,0,0,0,3,0
plotID_6,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,90,0,5,0,0,0,0,0,0,1,0,0,0,7,1,0,0,0,0,0,0,0,20,0
plotID_7,2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,90,0,8,7,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0.5,18,0
plotID_8,2018,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,95,0,2,0,0,0,0,0,0,1,0,0,0,10,7,0,0,0,0,0,0,0,10,0
plotID_9,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,100,0,0,0,0
plotID_10,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,80,0,6,0,0,0,0,0,0,1,0,0,0,3,5,0,0,0,1,45,0,0,6,0
plotID_11,2018,0,0.1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0.5,80,0,4,0,0,0.5,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,10,0
plotID_12,2018,0,0,0,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,8,5,85,0,15,0,0,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,0,0,3,0
plotID_13,2018,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,80,3,8,0,0,0,0,3,0,0.5,0,0,0,0,0,0,0,0,0,15,0,0,18,0
plotID_14,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,75,0,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,20,0,0,0,0,0,50,0
plotID_15,2018,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,95,0,5,0,0,5,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,17,0
plotID_16,2018,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,7,0,100,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0
plotID_17,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,90,0,5,0,0,0,0,0,0,2,0,0,0,3,5,0,0,0,0,0,1,0,30,0
plotID_18,2018,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,2,0,0,0,0,0,0,2,0,0,0,40,0,0,0,0,0,0,0,0,35,0
plotID_19,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,100,0,0,0,0,0,0,0,0,3,0,0,0,10,1,0,0,0,0,0,0,0,4,0
plotID_20,2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,1,80,0,5,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,3,0
plotID_21,2018,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,3,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,1,1,0,0
plotID_22,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,5,0
plotID_23,2018,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,20,0,0,1,0,0,0,2,0,0,0,5,5,0,0,0,0,0,0,0,5,0
plotID_24,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,50,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0
plotID_25,2018,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,10,0,95,0,0,0,0,0,0,0,0,0.5,0,0,0,5,7,0,0,0,0,0,0,0,3,0
plotID_26,2018,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,1,95,0,2,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,0,0
plotID_27,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,95,0,2,0,0,0,0,0,6,1,0,0,0,15,3,0,0,0,3,0,0,0,6,0
plotID_28,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,90,0,3,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
plotID_29,2018,6,0,0,0,0,0,50,1,0,0,0,0,0,0,0,0,0,0,5,3,60,0,25,1,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0
plotID_30,2018,0,1,0,1,0,0,3,0,0,20,0,0,0,0,0,0,0,0,0,2,70,0,5,0,0,0,0,0,0,2,0,0,0,5,5,0,0,0,0,15,0,0.5,5,0
plotID_31,2018,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,90,0,2,0,0,0,0,0,0,2,0,0,0,15,3,0,20,0,0,0,0,0,25,0
plotID_32,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,95,0,0,0,0,1,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0
plotID_33,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,90,0,0.5,0,0
plotID_34,2018,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,100,0,3,0,0,0,0,0,2,0,0,0,0,35,5,0,0,0,0,0,0,0,0,0
plotID_35,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,5,95,0,4,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,0,0,0,0
plotID_36,2018,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,1,90,0,0,0,0,1,0,0,0,0,0,0,0,20,3,0,0,0,5,0,0,0,0,0
plotID_37,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0
plotID_38,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,75,0,12,0,0,0,0,0,5,0,0,0,0,12,5,0,0,0,0,0,0,0.5,0,0
plotID_39,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,75,0,5,0,0,0,0,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,0,0
plotID_40,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,3,0,0,1,0,0,3,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0
plotID_41,2018,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,0,100,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
plotID_42,2018,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,1,0,0,0,0,0,15,2,0.5,0,0,7,3,0,0,0,0,0,0,0,0,0
plotID_43,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,10,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0
plotID_44,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,45,0,0,0,0,0,0,0,0,0,0,12,0.5,0,0,0,2,0,0,0,0,0
plotID_45,2018,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,90,0,3,0,0,0,0,0,0,0,2,0,0,5,2,0,3,0,2,0,0,0,0,0
plotID_46,2018,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,80,0,15,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,3,0,0,0,3,0
plotID_47,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,75,0,15,0,0,0,0,0,0,0,0,0,0,0,5,5,8,0,3,0,0,1,0,0
plotID_48,2018,7,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,2,0,0
plotID_49,2018,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,95,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
plotID_50,2018,0,0,0,0,25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,95,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
plotID_51,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,3,0,0,0,0,0,0,0,90,0,3,0,0,0,0,5,0,0,0,0,0
plotID_52,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,85,0,10,0,0,2,0,0,0,0,0,0,0,8,5,0,0,0,6,0,0,0,0,0
plotID_53,2018,0,0,0,0,35,0,0,0,50,0,0,0,0,1,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,1,0,0,0,2,8,0,0,0,4,0,0,0,0,0
plotID_54,2018,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75,15,2,20,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
plotID_55,2018,6,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,80,4,0,0,0,0,0,6,0,0,0,0,0,15,3,0,0,0,10,0,0,0,0,1
plotID_56,2018,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,2,0,0,0,0,0,0,2,0,0,0,0,11,0,0,0,50,0,0,0.5,0,0
plotID_57,2018,0,0,0,0,65,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,35,0,12,0,0,0,0,0,0,0,0,0
plotID_58,2018,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,0,1,0,0,0,0,0,0,0,1,0,70,6,0,0,0,0,0,0,0,0,0,0
plotID_59,2018,0,0,10,0,3,0,0,0,12,0,0,1,0,0,0,0,0,0,0.5,0,95,0,0,0,0,0,0,0,2,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0
plotID_60,2018,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,2,0.1,0,0.5,0,0,0,0,5,7,0,0,0,3,0,0,0,0,0
plotID_61,2018,0,0,0,0,50,0,0,0,0,0,0,0,0,3,0,0,2,0,0,8,65,0,1,0,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0
plotID_62,2018,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,65,0,20,0,0,0,0,0,0,0,0,0,20,8,0,0,0,0,2,0,0,0,0,0
plotID_63,2018,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,90,0,7,0,0,0,0,0,0,2,0,0,0,7,3,0,0,0,0,0,0,0,0,0
plotID_64,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,85,35,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0
plotID_1,2019,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85,0,0,8,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0
plotID_2,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,95,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,2,0,0,0,0,0
plotID_3,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,2,0,0,0,4,5,7,0,0,0,0,0,0,0,25
plotID_4,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0,2,0,0,0,0,3,7,0,0,0,0,0,0,25,0
plotID_5,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,1,3,0,0,0,15,0
